timestamp,service,operation,model,light_model,prompt_tokens,completion_tokens,total_tokens,prompt_chars,completion_chars,duration_seconds,tokens_per_second,tokens_per_minute,num_es_logs,num_chroma_chunks,elastic_logs_limit,chroma_chunks_limit,events_considered,question_tokens,context_tokens,question_chars,context_chars,actual_anomalies,detected_anomalies,precision,prompt_preview,response_preview,success,error_message,meta_log_limit,meta_mode
2025-11-08T19:35:23.140618,chat,rag_prompt_test,gpt-oss:120b,gpt-oss:120b,1346,75,1421,19339,762,262.13,0.286,17.167,5,0,5,0,5,12,1220,76,18408,4,0,20.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","{ ""evaluations"": [ { ""_id"": ""Aj4wdpkBNUCXPhCJABW6"", ""is_anomaly"": false, ""reason"": ""Operação criptográfica legítima (Re…",yes,,5,auto
2025-11-08T19:39:48.188226,chat,rag_prompt_test,gpt-oss:120b,gpt-oss:120b,5826,7,5833,89679,56,264.657,0.026,1.587,25,0,25,0,25,12,5700,76,88748,24,0,4.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","{ ""evaluations"": [], ""summary"": ""formato inválido"" }",yes,,25,auto
2025-11-08T19:54:33.505070,chat,rag_prompt_test,gpt-oss:120b,gpt-oss:120b,11426,871,12297,177592,9837,884.859,0.984,59.06,50,0,50,0,50,12,11300,76,176661,44,107,52.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","{ ""evaluations"": [ {""_id"": ""zT4wdpkBNUCXPhCJABS6"", ""is_anomaly"": true, ""reason"": ""event_id not allowed""}, {""_id"": ""zj4w…",yes,,50,auto
2025-11-08T19:58:01.574406,chat,rag_prompt_test,gpt-oss:120b,deepseek-r1:8b,1346,88,1434,19339,832,207.672,0.424,25.425,5,0,5,0,5,12,1220,76,18408,4,0,20.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","{ ""evaluations"": [ { ""_id"": ""Aj4wdpkBNUCXPhCJABW6"", ""is_anomaly"": false, ""reason"": ""Evento 5061 com ReturnCode 0x0 cons…",yes,,5,auto
2025-11-08T20:02:10.438968,chat,rag_prompt_test,gpt-oss:120b,deepseek-r1:8b,5826,5,5831,89679,50,248.438,0.02,1.208,25,0,25,0,25,12,5700,76,88748,24,0,4.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","{""evaluations"": [], ""summary"": ""formato inválido""}",yes,,25,auto
2025-11-08T20:10:49.860127,chat,rag_prompt_test,gpt-oss:120b,deepseek-r1:8b,11426,283,11709,177592,2965,519.081,0.545,32.712,50,0,50,0,50,12,11300,76,176661,44,0,12.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","{ ""evaluations"": [ {""_id"": ""9z4wdpkBNUCXPhCJABS6"", ""is_anomaly"": false, ""reason"": ""Não corresponde a regras""}, {""_id"": …",yes,,50,auto
2025-11-08T20:14:20.645943,chat,rag_prompt_test,gpt-oss:120b,gemma3:4b,1346,85,1431,19339,793,208.72,0.407,24.435,5,0,5,0,5,12,1220,76,18408,4,0,20.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","{ ""evaluations"": [ { ""_id"": ""Aj4wdpkBNUCXPhCJABW6"", ""is_anomaly"": false, ""reason"": ""Evento 5061 com ReturnCode 0x0, reg…",yes,,5,auto
2025-11-08T20:23:07.760622,chat,rag_prompt_test,gpt-oss:120b,gemma3:4b,5826,163,5989,89679,1908,526.677,0.309,18.569,25,0,25,0,25,12,5700,76,88748,24,17,48.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","{ ""evaluations"": [ {""_id"": ""9z4wdpkBNUCXPhCJABS6"", ""is_anomaly"": true, ""reason"": ""Old timestamp""}, {""_id"": ""9D4wdpkBNUC…",yes,,25,auto
2025-11-08T20:33:33.348588,chat,rag_prompt_test,gpt-oss:120b,gemma3:4b,11426,248,11674,177592,2724,625.093,0.397,23.804,50,0,50,0,50,12,11300,76,176661,44,0,12.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","{ ""evaluations"": [ {""_id"": ""9z4wdpkBNUCXPhCJABS6"", ""is_anomaly"": false, ""reason"": ""No rule triggered""}, {""_id"": ""9j4wdp…",yes,,50,auto
2025-11-08T20:36:59.524138,chat,rag_prompt_test,gpt-oss:120b,qwen3:4b,1346,85,1431,19339,801,205.836,0.413,24.777,5,0,5,0,5,12,1220,76,18408,4,0,20.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","{ ""evaluations"": [ { ""_id"": ""Aj4wdpkBNUCXPhCJABW6"", ""is_anomaly"": false, ""reason"": ""Evento 5061 com ReturnCode 0x0 cons…",yes,,5,auto
2025-11-08T20:48:50.129937,chat,rag_prompt_test,gpt-oss:120b,qwen3:4b,5826,593,6419,89679,6925,710.175,0.835,50.1,25,0,25,0,25,12,5700,76,88748,24,0,4.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","{ ""evaluations"": [ {""_id"": ""aF4wdpkBNUCXPhCJABS6"", ""is_anomaly"": false, ""reason"": ""event_id not monitored""}, {""_id"": ""a…",yes,,25,auto
2025-11-08T20:52:57.562579,chat,rag_prompt_test,gpt-oss:120b,qwen3:4b,11426,5,11431,177592,50,247.025,0.02,1.214,50,0,50,0,50,12,11300,76,176661,44,0,12.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","{""evaluations"": [], ""summary"": ""formato inválido""}",yes,,50,auto
2025-11-08T20:54:13.940379,chat,rag_prompt_test,deepseek-r1:8b,gpt-oss:120b,1346,1866,3212,19339,12274,76.143,24.507,1470.397,5,0,5,0,5,12,1220,76,18408,4,0,20.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","Since no specific policy.rules are provided in this context, I cannot apply any anomaly detection rules. Therefore, I m…",yes,,5,auto
2025-11-08T21:02:21.280595,chat,rag_prompt_test,deepseek-r1:8b,gpt-oss:120b,5826,20740,26566,89679,136369,487.113,42.577,2554.643,25,0,25,0,25,12,5700,76,88748,24,0,4.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","<think> ```json { ""eval"": [ 'event.account.display_name': { ""type"":""iml"", ""user_id"" (opcional) , \n""status"": true or fa…",yes,,25,auto
2025-11-08T21:08:02.542653,chat,rag_prompt_test,deepseek-r1:8b,gpt-oss:120b,11426,12731,24157,177592,84737,341.03,37.331,2239.862,50,0,50,0,50,12,11300,76,176661,44,0,12.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","Elidaocean-Den a =n) Context I need to the problem, I Oopschardale unaa. The contextospany In the )我学龄：**default This i…",no,Resposta do modelo não estava em JSON válido.,50,auto
2025-11-08T21:10:06.410779,chat,rag_prompt_test,deepseek-r1:8b,deepseek-r1:8b,1346,4431,5777,19339,29527,123.723,35.814,2148.84,5,0,5,0,5,12,1220,76,18408,4,0,20.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","** Contextom^paulinno, contexto IContextocean the given elw The contexttony ao这个课程_w * )对于一个) (中高华山、I need totemploy \(…",yes,,5,auto
2025-11-08T21:10:08.351016,chat,rag_prompt_test,deepseek-r1:8b,deepseek-r1:8b,5826,1,5827,89679,31,1.796,0.557,33.407,25,0,25,0,25,12,5700,76,88748,24,0,4.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…",GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,no,Resposta do modelo não estava em JSON válido.,25,auto
2025-11-08T21:10:10.318298,chat,rag_prompt_test,deepseek-r1:8b,deepseek-r1:8b,11426,1,11427,177592,31,1.824,0.548,32.888,50,0,50,0,50,12,11300,76,176661,44,0,12.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…",GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,no,Resposta do modelo não estava em JSON válido.,50,auto
2025-11-08T21:10:12.288888,chat,rag_prompt_test,deepseek-r1:8b,gemma3:4b,1346,1,1347,19339,31,1.736,0.576,34.562,5,0,5,0,5,12,1220,76,18408,4,0,20.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…",GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,no,Resposta do modelo não estava em JSON válido.,5,auto
2025-11-08T21:10:14.413457,chat,rag_prompt_test,deepseek-r1:8b,gemma3:4b,5826,1,5827,89679,31,1.86,0.538,32.259,25,0,25,0,25,12,5700,76,88748,24,0,4.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…",GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,no,Resposta do modelo não estava em JSON válido.,25,auto
2025-11-08T21:10:16.507188,chat,rag_prompt_test,deepseek-r1:8b,gemma3:4b,11426,1,11427,177592,31,1.864,0.536,32.184,50,0,50,0,50,12,11300,76,176661,44,0,12.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…",GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,no,Resposta do modelo não estava em JSON válido.,50,auto
2025-11-08T21:10:18.404916,chat,rag_prompt_test,deepseek-r1:8b,qwen3:4b,1346,1,1347,19339,31,1.748,0.572,34.32,5,0,5,0,5,12,1220,76,18408,4,0,20.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…",GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,no,Resposta do modelo não estava em JSON válido.,5,auto
2025-11-08T21:10:20.414465,chat,rag_prompt_test,deepseek-r1:8b,qwen3:4b,5826,1,5827,89679,31,1.847,0.541,32.484,25,0,25,0,25,12,5700,76,88748,24,0,4.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…",GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,no,Resposta do modelo não estava em JSON válido.,25,auto
2025-11-08T21:10:22.402486,chat,rag_prompt_test,deepseek-r1:8b,qwen3:4b,11426,1,11427,177592,31,1.828,0.547,32.824,50,0,50,0,50,12,11300,76,176661,44,0,12.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…",GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG,no,Resposta do modelo não estava em JSON válido.,50,auto
2025-11-08T21:10:27.238521,chat,rag_prompt_test,gemma3:4b,gpt-oss:120b,1346,37,1383,19339,323,4.527,8.173,490.398,5,0,5,0,5,12,1220,76,18408,4,1,40.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","```json { ""evaluations"": [ {""_id"": ""_j4wdpkBNUCXPhCJABS6"", ""is_anomaly"": true, ""reason"": ""Event ID 5379: Account Manage…",yes,,5,auto
2025-11-08T21:10:31.550579,chat,rag_prompt_test,gemma3:4b,gpt-oss:120b,5826,157,5983,89679,1424,4.012,39.134,2348.054,25,0,25,0,25,12,5700,76,88748,24,4,8.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","```json { ""evaluations"": [ {""_id"": ""6j4wdpkBNUCXPhCJABS6"", ""is_anomaly"": true, ""reason"": ""Event ID 5379: User 'jesus' a…",yes,,25,auto
