timestamp,service,operation,model,light_model,prompt_tokens,completion_tokens,total_tokens,prompt_chars,completion_chars,duration_seconds,tokens_per_second,tokens_per_minute,num_es_logs,num_chroma_chunks,elastic_logs_limit,chroma_chunks_limit,events_considered,question_tokens,context_tokens,question_chars,context_chars,actual_anomalies,detected_anomalies,precision,prompt_preview,response_preview,success,error_message,meta_log_limit,meta_mode
2025-10-07T11:32:04.388352,chat,rag_prompt_test,gpt-oss:120b,gpt-oss:120b,1321,101,1422,19149,872,260.105,0.388,23.298,5,0,5,0,5,12,1220,76,18408,4,0,20.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","{ ""evaluations"": [ { ""_id"": ""Aj4wdpkBNUCXPhCJABW6"", ""is_anomaly"": false, ""reason"": ""Evento criptográfico 5061 com Retur…",yes,,5,auto
2025-10-07T11:57:21.120051,chat,rag_prompt_test,gpt-oss:120b,gpt-oss:120b,5801,175,5976,89489,3399,1516.372,0.115,6.924,25,0,25,0,25,12,5700,76,88748,24,,,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…",Here is a concise validation result for every log entry. All entries are **invalid** because their timestamps are older…,yes,,25,auto
2025-10-07T12:01:57.890732,chat,rag_prompt_test,gpt-oss:120b,gpt-oss:120b,11401,157,11558,177402,1772,276.315,0.568,34.092,50,0,50,0,50,12,11300,76,176661,44,10,10.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","{ ""evaluations"": [ {""_id"": ""3z4wdpkBNUCXPhCJABS6"", ""is_anomaly"": true, ""reason"": ""CredMgr read""}, {""_id"": ""2z4wdpkBNUCX…",yes,,50,auto
2025-10-07T12:04:43.843361,chat,rag_prompt_test,gpt-oss:120b,deepseek-r1:8b,1321,97,1418,19149,800,165.595,0.586,35.146,5,0,5,0,5,12,1220,76,18408,4,0,20.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","{ ""evaluations"": [ { ""_id"": ""Aj4wdpkBNUCXPhCJABW6"", ""is_anomaly"": false, ""reason"": ""Evento 5061 com ReturnCode 0x0 cons…",yes,,5,auto
2025-10-07T12:24:31.843213,chat,rag_prompt_test,gpt-oss:120b,deepseek-r1:8b,5801,121,5922,89489,836,1187.665,0.102,6.113,25,0,25,0,25,12,5700,76,88748,24,0,0.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","{ ""evaluations"": [ { ""_id"": ""9z4"", ""is_anomaly"": false, ""reason"": ""Log is older than 30 days and does not match any of …",yes,,25,auto
2025-10-07T12:33:05.125822,chat,rag_prompt_test,gpt-oss:120b,deepseek-r1:8b,11401,475,11876,177402,5011,512.881,0.926,55.568,50,0,50,0,50,12,11300,76,176661,44,0,6.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","{ ""evaluations"": [ {""_id"": ""9TwdpkBNUCXPhCJABS6"", ""is_anomaly"": false, ""reason"": ""older than 24h""}, {""_id"": ""8TwdpkBNUC…",yes,,50,auto
2025-10-07T12:35:31.774837,chat,rag_prompt_test,gpt-oss:120b,gemma3:4b,1321,103,1424,19149,891,146.154,0.705,42.284,5,0,5,0,5,12,1220,76,18408,4,0,20.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","{ ""evaluations"": [ { ""_id"": ""Aj4wdpkBNUCXPhCJABW6"", ""is_anomaly"": false, ""reason"": ""Evento 5061 com ReturnCode 0x0 cons…",yes,,5,auto
2025-10-07T12:44:07.132896,chat,rag_prompt_test,gpt-oss:120b,gemma3:4b,5801,914,6715,89489,9671,514.844,1.775,106.518,25,0,25,0,25,12,5700,76,88748,24,,,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","{ ""evaluations"": [ {""_id"": ""9z4wdpkBNUCXPhCJABS6"", ""is_anomaly"": false, ""reason"": ""Evento fora do período""}, {""_id"": ""9…",yes,,25,auto
2025-10-07T13:01:33.717152,chat,rag_prompt_test,gpt-oss:120b,gemma3:4b,11401,362,11763,177402,9745,1046.209,0.346,20.761,50,0,50,0,50,12,11300,76,176661,44,,,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","```json { ""analysis"": [ {""_id"":""4z4wdpkBNUCXPhCJABS6"",""is_anomaly"":false,""reason"":""No anomaly detected""}, {""_id"":""4j4wd…",yes,,50,auto
2025-10-07T13:04:11.057954,chat,rag_prompt_test,gpt-oss:120b,qwen3:4b,1321,122,1443,19149,974,156.992,0.777,46.626,5,0,5,0,5,12,1220,76,18408,4,0,20.0,"Contexto (logs e políticas relevantes, tens de responder baseando-te nas políticas fornecidas, as políticas estão depoi…","{ ""evaluations"": [ { ""_id"": ""Aj4wdpkBNUCXPhCJABW6"", ""is_anomaly"": false, ""reason"": ""Evento 5061 com ReturnCode 0x0, con…",yes,,5,auto
